MAPK1
SLC17A7
SLC1A6
GNB3
GNB4
PPP3R1
GRIN3B
GNG13
GNG11
GNGT1
SLC38A2
PLCB2
GNB5
SLC1A1
MAPK3
PLD2
SLC17A6
GRIN2D
PRKCG
SLC1A3
CACNA1C
SLC1A2
GRIA4
GRM1
ADCY8
GNAQ
CACNA1D
PLA2G4D
GRIN2C
SHANK1
ADCY9
GNG3
KCNJ3
GRIA2
ADCY1
GNG8
GRIK5
GNB2
HOMER2
GRM5
ITPR1
GLUL
PRKACA
GLS2
ADCY6
ADCY4
GRK2
GNAI2
DLGAP1
SLC17A8
GLS
GRK3
GRIK1
GRIN2A
HOMER1
GNG2
PLCB1
PLD1
ADCY2
SHANK2
GRM7
GRM8
GRIN3A
GRM3
PLA2G4A
GNAI3
GNG5
PRKACB
GNG12
GNAS
GRIN1
GRIK3
GNG10
ITPR3
PRKACG
PLCB4
GNB1
ITPR2
GNG7
JMJD7-PLA2G4B
PPP3CB
PPP3CA
GRM2
PLA2G4F
PPP3CC
PLA2G4E
ADCY3
PLA2G4B
GRIK2
GNG4
PRKCA
TRPC1
ADCY5
GNGT2
GRIA1
GRIK4
HOMER3
GRM4
PLCB3
SLC38A1
PLA2G4C
GRIN2B
SLC38A3
GRIA3
SHANK3
CACNA1A
PRKCB
GRM6
GNAI1
DLG4
PPP3R2
ADCY7
