OR5AU1
KIR3DS1
INTS12
ARMC10
CHST6
AP1S2
DDX24
RGS18
HTR7P
C9orf156
VCAN
GPN3
CLC
OR1J1
C6orf114
SFRS4
KIF27
NAT1
EEF1DP3
NCRNA00083
GDF7
HNRNPL
PAN2
BRP44L
C1orf167
MRPL45
SPN
DLG2
SETD3
SLC39A8
RBL2
THRB
GLG1
NAP1L3
GNAS
TRMT6
SON
MKKS
OSTM1
EIF2B1
RHOBTB3
TRIM14
YEATS4
SLC37A3
GPX7
LYRM4
ZNF14
GPATCH8
CARD17
POU2F1
SLC4A8
BNC2
GALNT6
RPE
TRIAP1
ATG3
TFEC
GLRX
C6orf48
IFNG
VTA1
HOXB3
ZNF92
MRPL13
AIM1
FER1L5
MYL6
DYNLT3
TSPAN2
PKM2
RANBP6
LYPLAL1
DIS3L
SUSD1
C7orf36
WEE1
CS
TULP4
IFT80
C14orf142
MYOM2
PLA2G7
ANXA3
ERCC8
KRR1
CUL4A
TATDN2
UNC5CL
S1PR5
ZNF140
CFI
FPGT
CCDC75
ORC6L
FDX1
CDH18
CRIPT
VPS36
MARCH6
PRMT3
TPST2
C12orf60
C12orf48
COMMD3
RALA
HOPX
GGCT
PYHIN1
TMEM68
SLITRK4
SC5DL
SART3
OR2H2
SPANXN2
ZCCHC10
SYNE1
LIPA
EIF5A2
TTLL5
MYT1
VPS29
KBTBD7
MIS12
C2orf61
FAM118B
TTBK2
EZR
CCDC65
ICOS
6.Mar
SLC27A5
CDY1B
C12orf73
SSR3
HORMAD1
B3GALTL
CD52
PPAPDC2
RGS9
ZNF571
ZNF350
ZNF230
OR51E1
SIGMAR1
CSNK1G3
HIPK2
ZFP161
VPS39
FOSB
OR2A12
SPATS2
RERE
TBC1D5
UBL5
ITSN1
MRP63
KLHDC8B
LLGL1
TIMM9
OSBPL5
KCTD18
C11orf60
CLEC4D
NKIRAS1
KIR3DL1
KLHL9
NFATC3
SF3B2
RPL41
KEL
ATP5G3
IFI27L1
SAMD3
DAOA
MLLT6
PAFAH2
C21orf59
KCTD10
AKAP13
ICMT
PIM2
C14orf139
FAM82B
NKG7
ENSA
C9orf95
EML4
INCENP
COX7A2
C3orf23
PIWIL4
COMMD2
USP7
TATDN3
C7orf58
DNAJC25
PDE6C
TP53RK
CD69
SSBP1
FEZ1
ZUFSP
UBXN8
CFL2
ZIC2
NFATC2
RNFT1
AIG1
TNFSF10
MAP2K3
GAB3
BZRAP1
FGFBP3
TNPO2
FAM177A1
ZKSCAN4
LPCAT1
RPS6KB1
DLL1
SRGAP3
