"","time.shift","wake","N","w.smooth"
"1",-24,1,18,NA
"2",-23.9988888888889,1,18,NA
"3",-23.9977777777778,1,18,NA
"4",-23.9966666666667,1,18,NA
"5",-23.9955555555556,1,18,NA
"6",-23.9944444444444,1,18,NA
"7",-23.9933333333333,1,18,NA
"8",-23.9922222222222,1,18,NA
"9",-23.9911111111111,1,18,NA
"10",-23.99,1,18,NA
"11",-23.9888888888889,1,18,NA
"12",-23.9877777777778,1,18,NA
"13",-23.9866666666667,1,18,NA
"14",-23.9855555555556,1,18,NA
"15",-23.9844444444444,1,18,NA
"16",-23.9833333333333,1,18,NA
"17",-23.9822222222222,1,18,NA
"18",-23.9811111111111,1,18,NA
"19",-23.98,1,18,NA
"20",-23.9788888888889,1,18,NA
"21",-23.9777777777778,1,18,NA
"22",-23.9766666666667,1,18,NA
"23",-23.9755555555556,1,18,NA
"24",-23.9744444444444,1,18,NA
"25",-23.9733333333333,1,18,NA
"26",-23.9722222222222,1,18,NA
"27",-23.9711111111111,1,18,NA
"28",-23.97,1,18,NA
"29",-23.9688888888889,1,18,NA
"30",-23.9677777777778,1,18,NA
"31",-23.9666666666667,1,18,NA
"32",-23.9655555555556,1,18,NA
"33",-23.9644444444444,1,18,NA
"34",-23.9633333333333,1,18,NA
"35",-23.9622222222222,0,18,NA
"36",-23.9611111111111,0,18,NA
"37",-23.96,0,18,NA
"38",-23.9588888888889,0,18,NA
"39",-23.9577777777778,1,18,NA
"40",-23.9566666666667,1,18,NA
"41",-23.9555555555556,1,18,NA
"42",-23.9544444444444,0,18,NA
"43",-23.9533333333333,1,18,NA
"44",-23.9522222222222,1,18,NA
"45",-23.9511111111111,1,18,NA
"46",-23.95,1,18,NA
"47",-23.9488888888889,1,18,NA
"48",-23.9477777777778,0,18,NA
"49",-23.9466666666667,0,18,NA
"50",-23.9455555555556,0,18,NA
"51",-23.9444444444444,0,18,NA
"52",-23.9433333333333,0,18,NA
"53",-23.9422222222222,0,18,NA
"54",-23.9411111111111,0,18,NA
"55",-23.94,0,18,NA
"56",-23.9388888888889,0,18,NA
"57",-23.9377777777778,0,18,NA
"58",-23.9366666666667,0,18,NA
"59",-23.9355555555556,0,18,NA
"60",-23.9344444444444,0,18,NA
"61",-23.9333333333333,0,18,NA
"62",-23.9322222222222,0,18,NA
"63",-23.9311111111111,0,18,NA
"64",-23.93,0,18,NA
"65",-23.9288888888889,0,18,NA
"66",-23.9277777777778,0,18,NA
"67",-23.9266666666667,0,18,NA
"68",-23.9255555555556,0,18,NA
"69",-23.9244444444444,0,18,NA
"70",-23.9233333333333,1,18,NA
"71",-23.9222222222222,1,18,NA
"72",-23.9211111111111,0,18,NA
"73",-23.92,0,18,NA
"74",-23.9188888888889,0,18,NA
"75",-23.9177777777778,0,18,2.93333333333334
"76",-23.9166666666667,0,18,2.86666666666667
"77",-23.9155555555556,0,18,2.8
"78",-23.9144444444444,0,18,2.73333333333334
"79",-23.9133333333333,0,18,2.66666666666667
"80",-23.9122222222222,0,18,2.6
"81",-23.9111111111111,0,18,2.53333333333333
"82",-23.91,0,18,2.46666666666667
"83",-23.9088888888889,1,18,2.46666666666667
"84",-23.9077777777778,1,18,2.46666666666667
"85",-23.9066666666667,1,18,2.46666666666667
"86",-23.9055555555556,1,18,2.46666666666667
"87",-23.9044444444444,1,18,2.46666666666667
"88",-23.9033333333333,1,18,2.46666666666667
"89",-23.9022222222222,1,18,2.46666666666667
"90",-23.9011111111111,1,18,2.46666666666667
"91",-23.9,1,18,2.46666666666667
"92",-23.8988888888889,1,18,2.46666666666667
"93",-23.8977777777778,0,18,2.4
