BST2
MRPS36
FGF6
OPN3
HSPA6
HMGA1
MYLIP
C12orf42
RGS5
LOC100506233
HGS
NR1D1
IFI44L
PAK6
ELMO3
MOSC1
CDKN1C
TOM1
LMBR1L
AUP1
LOC100507458
IL18R1
RND3
FAM183B
LOC151174
LILRA5
IER3
ARPC4
ZNF2
GZMH
C6orf130
GGA2
B3GAT1
YPEL1
NRIP3
ZDHHC18
RCCD1
MRPL16
C10orf54
LGALS2
ALOX5AP
PLEKHJ1
TMEM132B
PGAM5
DRAM1
MID2
PRRC2A
ANG
GTPBP8
TRNP1
OSGIN2
ANKRD34A
UBE2L3
LOC100288077
OAS1
OSBPL5
GPKOW
ZSCAN18
MR1
N6AMT2
STIP1
CTSF
KLHL25
PVRL2
CDCP2
LOC284837
RGS14
ELMOD3
MICAL1
GUCA2B
CISH
SNCA
RAMP1
A2LD1
MYC
IFI6
SAMD3
SOD1
ARRB2
SNRNP35
LGALS8
SHISA5
B3GNTL1
ST3GAL2
ZNF787
CD22
BRD9
C9orf37
IL16
PGLYRP1
LOC100505480
7.Mar
NSRP1
TNFSF4
ANKRD13D
CTSB
SIRT6
FASTKD5
EXOC2
LOC100506784
KRT27
LRG1
PSAT1
ABCA7
FBXL16
MDC1
ZNF692
CDK10
PSMB6
JMJD8
NUP205
WBSCR22
PHGDH
GPRC5A
KCNH2
GALNT5
BOLA2B
ZDHHC3
RAI1
ASGR1
IFNGR2
RBAK-LOC389458
CCNL2
MAGED4B
SUDS3
LOC100507329
FLJ30679
SNPH
FOLR3
SFT2D2
KLHL21
BNIP3L
PIDD
TMEM165
TNN
CLCN6
CCL18
CDK14
COX17
MAPKAPK3
PRSS23
UNC119
APOBEC3B
LOC100506079
MICB
SMCHD1
FLJ13197
CD302
NEUROD4
CIRBP
KIF21A
DUSP1
RBM17
GFAP
TSPAN11
ZNF319
ATP5H
GPR97
MRPS17
BEX5
RNF181
SH3GL3
RAB3IL1
P2RX1
KCNK17
CHST7
TLR2
PRR5L
DDX21
MRPL51
SCGB1C1
MOBP
FAM43B
TP53I13
FGFRL1
TNFRSF6B
USP40
UPP1
OOEP
RPS6KL1
THBS2
SLC25A19
AEN
HEBP1
CD300LF
NDUFS6
RCL1
FLCN
AOC2
NEK11
LOC100293977
LOC283663
CRTC3
RAB24
ZBTB34
C17orf67
NIP7
CYHR1
INTS5
HABP4
DNAJC9
FH
KIAA1045
OTUD7A
PLA2G4F
C4BPA
RUNX3
PEX6
LRRC25
TMEM204
RNF13
CSTF1
SLA
C22orf25
DBNDD1
GUK1
LOC100506473
COX4I1
ICAM1
ATP5G1
SRSF9
ANO9
RGS9BP
FKBP5
ABTB1
FAM89A
DPY19L2P2
STX11
ABHD14B
AVPR1A
FOSL2
DRP2
DBNL
TIGIT
F2R
ARHGAP27
MYBPH
OXA1L
EEF1D
TPPP3
RBM23
GZMB
NR1H3
